Resource,type,name,base_name,extension,size,date,sha1,md5,mime_type,file_type,programming_language,is_binary,is_text,is_archive,is_media,is_source,is_script,is_legal,is_manifest,is_readme,is_top_level,files_count,dirs_count,size_count,scan_errors,license__key,license__score,license__name,license__short_name,license__category,license__is_exception,license__owner,license__homepage_url,license__text_url,license__reference_url,license__spdx_license_key,license__spdx_url,start_line,end_line,matched_rule__identifier,matched_rule__license_expression,matched_rule__licenses,matched_rule__is_license_text,matched_rule__is_license_notice,matched_rule__is_license_reference,matched_rule__is_license_tag,matched_rule__matcher,matched_rule__rule_length,matched_rule__matched_length,matched_rule__match_coverage,matched_rule__rule_relevance,copyright,copyright_holder
/go-spew-1.1.1.tar.gz-extract/,directory,go-spew-1.1.1.tar.gz-extract,go-spew-1.1.1.tar.gz-extract,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,23,3,211657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/go-spew-1.1.1.tar.gz-extract/go-spew-1.1.1/,directory,go-spew-1.1.1,go-spew-1.1.1,,0,,,,,,,False,False,False,False,False,False,False,False,False,True,23,2,211657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/go-spew-1.1.1.tar.gz-extract/go-spew-1.1.1/.travis.yml,file,.travis.yml,.travis,.yml,769,2018-02-21,0887906fdf6ac064741881420631bf875d5a4025,f3586dbd59654b8649f0f45768f26a7d,text/plain,ASCII text,YAML,False,True,False,False,True,False,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/go-spew-1.1.1.tar.gz-extract/go-spew-1.1.1/cov_report.sh,file,cov_report.sh,cov_report,.sh,658,2018-02-21,ae3d8845efc6cb161bee951f9cb31057de375cd5,0da3ae60eeb9a8d2a65a592d94f0de9e,text/x-shellscript,"POSIX shell script, ASCII text executable",Bash,False,True,False,False,True,True,False,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/go-spew-1.1.1.tar.gz-extract/go-spew-1.1.1/LICENSE,file,LICENSE,LICENSE,,766,2018-02-21,d2f340a01dd48b589a70f627cf7058c585a315e4,c06795ed54b2a35ebeeb543cd3a73e56,text/plain,ASCII text,,False,True,False,False,False,False,True,False,False,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/go-spew-1.1.1.tar.gz-extract/go-spew-1.1.1/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,isc,94.21,ISC License,ISC License,Permissive,False,ISC - Internet Systems Consortium,https://www.isc.org/software/license,http://fedoraproject.org/wiki/Licensing:MIT#Old_Style_with_legal_disclaimer_2,https://enterprise.dejacode.com/urn/urn:dje:license:isc,ISC,https://spdx.org/licenses/ISC,1,15,isc_13.RULE,isc,[u'isc'],True,False,False,False,3-seq,114,114,100.00,100.00,,
/go-spew-1.1.1.tar.gz-extract/go-spew-1.1.1/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,Copyright (c) 2012-2016 Dave Collins <dave@davec.name>,
/go-spew-1.1.1.tar.gz-extract/go-spew-1.1.1/LICENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,Dave Collins
/go-spew-1.1.1.tar.gz-extract/go-spew-1.1.1/README.md,file,README.md,README,.md,7119,2018-02-21,473938d3aec51572fe3a6df9b26e3187f1d945d8,cd24249ebeb651612c298e6ceb6e1591,text/x-c,"C source, ASCII text",,False,True,False,False,False,False,False,False,True,True,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/go-spew-1.1.1.tar.gz-extract/go-spew-1.1.1/README.md,,,,,,,,,,,,,,,,,,,,,,,,,,isc,11.00,ISC License,ISC License,Permissive,False,ISC - Internet Systems Consortium,https://www.isc.org/software/license,http://fedoraproject.org/wiki/Licensing:MIT#Old_Style_with_legal_disclaimer_2,https://enterprise.dejacode.com/urn/urn:dje:license:isc,ISC,https://spdx.org/licenses/ISC,5,5,isc_22.RULE,isc,[u'isc'],False,False,True,False,2-aho,2,2,100.00,11.00,,
